X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-79.416587799999988,43.6655884,172444,GO-2018154061,2018-01-24T21:30:00.000Z,2018-01-25T08:04:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,25,25,Thursday  ,8,2018,January,24,24,Wednesday ,21,Auto Theft,D14,95,Annex (95),43.6655884,-79.4165878,159493
-79.511764500000012,43.6552315,172445,GO-2018133476,2018-01-21T15:30:00.000Z,2018-01-22T08:43:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,22,22,Monday    ,8,2018,January,21,21,Sunday    ,15,Auto Theft,D22,15,Kingsway South (15),43.6552315,-79.5117645,159494
-79.549537700000016,43.7276535,172446,GO-2018160018,2018-01-26T05:16:00.000Z,2018-01-26T05:16:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,26,26,Friday    ,5,2018,January,26,26,Friday    ,5,Auto Theft,D23,5,Elms-Old Rexdale (5),43.7276535,-79.5495377,159495
-79.271316500000012,43.7493858,172447,GO-2018157900,2018-01-24T21:00:00.000Z,2018-01-25T18:51:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,25,25,Thursday  ,18,2018,January,24,24,Wednesday ,21,Auto Theft,D41,126,Dorset Park (126),43.7493858,-79.2713165,159496
-79.5005188,43.7622452,172448,GO-201859804,2017-12-15T23:30:00.000Z,2018-01-10T17:55:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,10,10,Wednesday ,17,2017,December,15,349,Friday    ,23,Auto Theft,D31,27,York University Heights (27),43.7622452,-79.5005188,159497
-79.5005188,43.7622452,172449,GO-201859804,2017-12-15T23:30:00.000Z,2018-01-10T17:55:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,10,10,Wednesday ,17,2017,December,15,349,Friday    ,23,Auto Theft,D31,27,York University Heights (27),43.7622452,-79.5005188,159498
-79.4334183,43.7041931,172450,GO-2018160449,2018-01-25T22:00:00.000Z,2018-01-26T08:01:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,26,26,Friday    ,8,2018,January,25,25,Thursday  ,22,Auto Theft,D13,102,Forest Hill North (102),43.7041931,-79.4334183,159499
-79.2958832,43.7977486,172451,GO-2018160452,2018-01-25T19:30:00.000Z,2018-01-26T07:55:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,26,26,Friday    ,7,2018,January,25,25,Thursday  ,19,Auto Theft,D42,117,L'Amoreaux (117),43.7977486,-79.2958832,159500
-79.3721619,43.6633911,172452,GO-2018155761,2017-12-09T12:25:00.000Z,2018-01-25T12:54:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2018,January,25,25,Thursday  ,12,2017,December,9,343,Saturday  ,12,Auto Theft,D51,71,Cabbagetown-South St.James Town (71),43.6633911,-79.3721619,159501
-79.4812775,43.6483727,172453,GO-2018153219,2018-01-24T19:00:00.000Z,2018-01-25T03:02:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,25,25,Thursday  ,3,2018,January,24,24,Wednesday ,19,Auto Theft,D11,87,High Park-Swansea (87),43.6483727,-79.4812775,159502
-79.3679428,43.6548576,172454,GO-201816296,2017-11-30T17:30:00.000Z,2018-01-03T17:38:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2018,January,3,3,Wednesday ,17,2017,November,30,334,Thursday  ,17,Auto Theft,D51,73,Moss Park (73),43.6548576,-79.3679428,159503
-79.3995132,43.8018379,172455,GO-2018428636,2018-03-07T10:54:00.000Z,2018-03-08T10:54:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,8,67,Thursday  ,10,2018,March,7,66,Wednesday ,10,Auto Theft,D32,50,Newtonbrook East (50),43.8018379,-79.3995132,159504
-79.5338593,43.6798935,172456,GO-2017643938,2017-04-11T23:30:00.000Z,2017-04-12T09:04:00.000Z,House,2135,210,Theft Of Motor Vehicle,2017,April,12,102,Wednesday ,9,2017,April,11,101,Tuesday   ,23,Auto Theft,D22,9,Edenbridge-Humber Valley (9),43.6798935,-79.5338593,159505
-79.3600464,43.7765732,172457,GO-2018429354,2018-03-01T00:00:00.000Z,2018-03-08T12:41:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,8,67,Thursday  ,12,2018,March,1,60,Thursday  ,0,Auto Theft,D33,47,Don Valley Village (47),43.7765732,-79.3600464,159506
-79.2229996,43.7580299,172458,GO-2018428236,2018-03-07T18:00:00.000Z,2018-03-08T09:53:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,8,67,Thursday  ,9,2018,March,7,66,Wednesday ,18,Auto Theft,D43,137,Woburn (137),43.7580299,-79.2229996,159507
-79.398147599999987,43.646232599999983,172459,GO-2018443724,2018-03-09T19:00:00.000Z,2018-03-10T15:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,10,69,Saturday  ,15,2018,March,9,68,Friday    ,19,Auto Theft,D14,77,Waterfront Communities-The Island (77),43.6462326,-79.3981476,159508
-79.4676971,43.6917191,172460,GO-2018452502,2018-03-12T05:50:00.000Z,2018-03-12T06:47:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,12,71,Monday    ,6,2018,March,12,71,Monday    ,5,Auto Theft,D12,112,Beechborough-Greenbrook (112),43.6917191,-79.4676971,159509
-79.6190186,43.7210083,172461,GO-2018452940,2018-03-12T03:30:00.000Z,2018-03-12T08:20:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,12,71,Monday    ,8,2018,March,12,71,Monday    ,3,Auto Theft,D23,1,West Humber-Clairville (1),43.7210083,-79.6190186,159510
-79.4961624,43.72192,172462,GO-2018447415,2018-03-10T22:00:00.000Z,2018-03-11T07:19:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,11,70,Sunday    ,7,2018,March,10,69,Saturday  ,22,Auto Theft,D31,26,Downsview-Roding-CFB (26),43.72192,-79.4961624,159511
-79.569442699999982,43.748962400000011,172463,GO-2018441492,2018-03-09T23:00:00.000Z,2018-03-10T07:59:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,10,69,Saturday  ,7,2018,March,9,68,Friday    ,23,Auto Theft,D31,21,Humber Summit (21),43.7489624,-79.5694427,159512
-79.569442699999982,43.748962400000011,172464,GO-2018441492,2018-03-09T23:00:00.000Z,2018-03-10T07:59:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,March,10,69,Saturday  ,7,2018,March,9,68,Friday    ,23,Auto Theft,D31,21,Humber Summit (21),43.7489624,-79.5694427,159513
-79.3399353,43.733799,172465,GO-2018453586,2018-03-10T12:00:00.000Z,2018-03-12T10:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,12,71,Monday    ,10,2018,March,10,69,Saturday  ,12,Auto Theft,D33,42,Banbury-Don Mills (42),43.733799,-79.3399353,159514
-79.391456599999984,43.654335,172466,GO-2018455552,2018-02-07T11:00:00.000Z,2018-03-12T15:17:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,12,71,Monday    ,15,2018,February,7,38,Wednesday ,11,Auto Theft,D52,78,Kensington-Chinatown (78),43.654335,-79.3914566,159515
-79.391456599999984,43.654335,172467,GO-2018455552,2018-02-07T11:00:00.000Z,2018-03-12T15:17:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,12,71,Monday    ,15,2018,February,7,38,Wednesday ,11,Auto Theft,D52,78,Kensington-Chinatown (78),43.654335,-79.3914566,159516
-79.5027084,43.7030411,172468,GO-2018460817,2018-03-12T17:30:00.000Z,2018-03-13T12:29:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,13,72,Tuesday   ,12,2018,March,12,71,Monday    ,17,Auto Theft,D12,28,Rustic (28),43.7030411,-79.5027084,159517
-79.5406723,43.6224747,172469,GO-2018465406,2018-03-13T04:13:00.000Z,2018-03-14T06:37:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,14,73,Wednesday ,6,2018,March,13,72,Tuesday   ,4,Auto Theft,D22,14,Islington-City Centre West (14),43.6224747,-79.5406723,159518
